Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,DOI_Link,location1,location2,location3,location4,location5
Influence of artificial channels on the source and extent of saline waterintrusion in the wind tide dominated wetlands of the southern Albemarleestuarine system (USA),"Manda, Alex K; Giuliano, Angela S; Allen, Thomas R","Saline water intrusion is degrading water quality in the channelizedcoastal wetlands of the southern Albemarle estuarine system (AES). Thesource, transport and fate of the saline water in the southern AES wasdetermined by monitoring specific conductivity and water levels in smallartificial channels, the Alligator River, the Alligator–Pungo Canal andthe groundwater system for ~12 months. Results indicate that water levelsare affected by wind tides which trigger the movement of saline water intothe interior of the wetlands via the small canals. The wind tides aremostly driven by episodic southerly winds pushing saline water into thecanal network and the groundwater regime proximal to the Alligator River.The saline waters persist in the canals as long as the wind tide eventslast. Specific conductivities from canals and groundwater are shown to beunexpectedly higher closer to the source of the Alligator River thantoward the Albemarle Sound, suggesting that the large Alligator–PungoCanal facilitates the northward migration of saline water from the PamlicoSound to the Alligator River. Overwash and reversals in the flowdirections between groundwater and surface water bodies suggest thatsaline water that is present during wind tide events may migrate into thegroundwater system from surface water bodies. The results of this studyreveal that whereas the large Alligator–Pungo Canal channels saline waterto the AES, small artificial channels may also play significant roles indegrading water quality in the interior of channelized coastal wetlands.",2014,,Environ. Earth Sci.,71,10,4409-4419,,10.1007/s12665-013-2834-9,,#41,Manda 2014,,,https://doi.org/10.1007/s12665-013-2834-9,Albemarle,,,,
Differential effects of chronic and acute simulated seawater intrusion ontidal freshwater marsh carbon cycling,"Herbert, Ellen R; Schubauer-Berigan, Joseph; Craft, Christopher B","Tidal freshwater ecosystems experience acute seawater intrusion associatedwith periodic droughts, but are expected to become chronically salinizedas sea level rises. Here we report the results from an experimentalmanipulation in a tidal freshwater Zizaniopsis miliacea marsh on theAltamaha River, GA where diluted seawater was added to replicate marshplots on either a press (constant) or pulse (2 months per year) basis. Wemeasured changes in porewater chemistry (SO4 2-, Cl-, organic C, inorganicnitrogen and phosphorus), ecosystem CO2 and CH4 exchange, and microbialextracellular enzyme activity. We found that press (chronic) seawateradditions increased porewater chloride and sulfate almost immediately, andammonium and phosphate after 2-4 months. Chronic increases in salinityalso decreased net ecosystem exchange, resulting in reduced CO2 and CH4emissions from press plots. Our pulse treatment, designed to mimic naturalsalinity incursion in the Altamaha River (September and October),temporarily increased porewater ammonium concentrations but had fewlasting effects on porewater chemistry or ecosystem carbon balance. Ourfindings suggest that long-term, chronic saltwater intrusion will lead toreduced C fixation and the potential for increased nutrient (N, P) exportwhile acute pulses of saltwater will have temporary effects.",2018,,Biogeochemistry,138,2,137-154,,10.1007/s10533-018-0436-z,,#42,Herbert 2018,,,https://doi.org/10.1007/s10533-018-0436-z,,,,,
Location and Design of Flow Control Structures Differentially InfluenceSalinity Patterns in Small Artificial Drainage Systems,"Neville, Justine A; Emanuel, Ryan E; Ardón, Marcelo; Pavelsky, Tamlin",,2023,,Journal of Water Resources Planning and Management,149,6,05023002,,10.1061/JWRMD5.WRENG-5840,,#44,Neville 2023,,,https://doi.org/10.1061/JWRMD5.WRENG-5840,,,,,
Watershed land use and river engineering drive wetland formation and lossin the Mississippi river birdfoot delta,"Tweel, Andrew W; Eugene Turner, R","The Mississippi River basin was developed for agriculture at anunprecedented scale and intensity within the last 200 yr. These changesfavored erosion and sediment transport, which were subsequently reduced bysoil conservation practices, the trapping of sediment behind largereservoirs, and channel engineering. We discuss the relationship betweensediment loading and the growth, loss, and stability of wetlands in theMississippi River birdfoot delta (MRBD). We report an anthropogenicallydriven increase in mean suspended sediment concentrations in theMississippi River below New Orleans, from a modeled 350 mg L21 (174 3 109kg yr21) at the end of the 18th century to a measured maximum of 675 mgL21 (3483109 kg yr21) in the late 19th century, followed by a sharpreduction, and then a period of stabilization at 157 mg L21 (91 3 109 kgyr21) after 1962. Changes in wetland area of the MRBD over the past twocenturies reflect variations in sediment supply during periods ofincreasing, decreasing, and stable sediment loading, and are distinct fromwetland loss patterns in other areas of coastal Louisiana. The rapidgrowth of the MRBDuntil the 1930s, which has been used as a reference forone of the world's largest wetland restoration efforts, may not be asuitable archetype for the majority of the coast. Additionally, futurevariation in sediment supply to the MRBD would likely change the totalwetland area of the MRBD. Intensive",2012,,Limnol. Oceanogr.,57,1,18-28,,10.4319/lo.2012.57.1.0018,,#45,Tweel 2012,,,https://doi.org/10.4319/lo.2012.57.1.0018,New Orleans,Louisiana,MRBDuntil,,
Soils in transition: saltwater intrusion alters soil chemistry inagricultural fields,"Tully, Katherine L; Weissman, Danielle; Wyner, W Jesse; Miller, Jarrod; Jordan, Thomas","As global sea-levels rise, low-lying coastal lands are subject to shallowcoastal flooding and saltwater intrusion, affecting the productivity offarmlands worldwide. Soil biogeochemistry can be dramatically altered assaltwater intrudes agricultural fields. We selected three farm fields inSomerset Co., Maryland affected by saltwater intrusion and establishedtransects from the ditch bank to the center of the cropped field andcollected soils (to ~ 140 cm) at five points along this transect. Thethree fields in this study have different soil types, are located alongdifferent tributaries in the county, and receive different fertilizerrates, yet they all showed similar biogeochemical responses to saltwaterintrusion. We found an increase in electrical conductivity andconcentrations of chloride, sulfate, and forms of phosphorus (P) from thecenter of the field (low) to the ditch banks (high). As inundationincreased, the structure of iron (Fe) changed from crystalline tonon-crystalline forms, possibly due to dissolution under saturatedconditions. Near the edges of the fields, the formation of organometalliccomplexes was positively associated with increases in soil carbon andorganic soil P concentrations. Compared to areas of the fields where cropswere actively growing, soil P concentrations are 2–3 higher on fieldedges, suggesting that saltwater intrusion may be transporting P to theedges of agricultural fields. These field edges are frequently saturated,thus reduction of Fe could lead to P release into solution potentiallyharming water quality. As climate change pushes saltwater further inland,it is important to understand the biogeochemical consequences forecosystems up- and downstream. Understanding the how fractions of P moveand change across fields affected by saltwater intrusion will be crucialfor planning current and future management of coastal agricultural lands.",2019,,Biogeochemistry,142,3,339-356,,10.1007/s10533-019-00538-9,,#47,Tully 2019,,,https://doi.org/10.1007/s10533-019-00538-9,Co.,Maryland,,,
Shifts in the relative availability of phosphorus and nitrogen alongestuarine salinity gradients,"Hartzell, Jeanne L; Jordan, Thomas E",,2012,,Biogeochemistry,107,1-3,489-500,,10.1007/s10533-010-9548-9,,#48,Hartzell 2012,,,https://doi.org/10.1007/s10533-010-9548-9,,,,,
The Facilitative Role of Kosteletzkya pentacarpos in Transitioning CoastalAgricultural Land to Wetland During Sea Level Rise,"Voutsina, Nikol; Seliskar, Denise M; Gallagher, John L",,2015,,Estuaries Coasts,38,1,35-44,,10.1007/s12237-014-9795-4,,#49,Voutsina 2015,,,https://doi.org/10.1007/s12237-014-9795-4,,,,,
Sea level rise impacts on rural coastal social-ecological systems and theimplications for decision making,"Bhattachan, A; Jurjonas, M D; Moody, A C; Morris, P R; Sanchez, G M; Smart, L S; Taillie, P J; Emanuel, R E; Seekamp, E L","Many rural coastal regions are distinctly vulnerable to sea level risebecause of their remoteness, isolation from central planning agencies, andpoverty. To better plan for future sea level changes in these regions, aninterdisciplinary approach to assess the social and environmental impactsof sea level rise and their dynamic feedbacks is important. In this paper,we use a socio-ecological system framework to investigate sea level riseimpacts to the Albemarle-Pamlico Peninsula, a rural, low-lying coastalregion in eastern North Carolina. Specifically, we show that 42% of theregion could be inundated and property losses of up to US $14 billioncould be incurred with 100 cm of sea level rise. We also synthesize theimpacts of sea level rise on the region's social-ecological system andpresent strategies to strengthen the adaptive capacity of the ecosystem,markets and communities. We conclude with a discussion on the differingclimate change risk perceptions amongst the stakeholders as well asimplications for decision-making. Sea level rise will continue to threatenthe functioning of this social-ecological system of rural, low-lyingcoastal communities. A socio-ecological system framework provides a lensthrough which the impacts of sea level rise can be evaluated for rural,low-lying coastal communities. The framework presented here necessitatesinterdisciplinary research and highlights the importance of mutuallearning amongst stakeholders in other rural coastal regions.",2018,,,90,,122-134,,10.1016/j.envsci.2018.10.006,,#58,Bhattachan 2018,,,https://doi.org/10.1016/j.envsci.2018.10.006,North Carolina,US,,,
Mitigating the Expansion of Harmful Algal Blooms Across theFreshwater-to-Marine Continuum,"Paerl, Hans W; Otten, Timothy G; Kudela, Raphael","Anthropogenic nutrient overenrichment, coupled with rising temperatures,and an increasing frequency of extreme hydrologic events (storms anddroughts) are accelerating eutrophication and promoting the expansion ofharmful algal blooms (HABs) across the freshwater-to-marine continuum. AllHABs—with a focus here on cyanobacterial blooms—pose serious consequencesfor water supplies, fisheries, recreational uses, tourism, and propertyvalues. As nutrient loads grow in watersheds, they begin to compound theeffects of legacy stores. This has led to a paradigm shift in ourunderstanding of how nutrients control eutrophication and blooms.Phosphorus (P) reductions have been traditionally prescribed exclusivelyfor freshwater systems, while nitrogen (N) reductions were mainly stressedfor brackish and coastal waters. However, because most systems arehydrologically interconnected, single nutrient (e.g., P only) reductionsupstream may not necessarily reduce HAB impacts downstream. Reducing bothN and P inputs is...",2018,,Environ. Sci. Technol.,52,10,5519-5529,,10.1021/acs.est.7b05950,,#60,Paerl 2018,,,https://doi.org/10.1021/acs.est.7b05950,,,,,
Southeast regional climate hub assessment of climate change vulnerabilityand adaptation and mitigation strategies,"McNulty, Steve; Weiner, Sarah; Myers, Jennifer Moore; Farahani, Hamid; Fouladbash, Lisa; Marshall, David; Steele, Rachel F",,2015,,Agriculture Research Service,2015,,1-61,,,,#62,McNulty 2015,,,https://doi.org/nan,,,,,
The Effects of Dredging on Tidal Range and Saltwater Intrusion in thePearl River Estuary,"Zhu, Jianrong; Yuan, Rui","Yuan, R. and Zhu, J., 2015. The effects of dredging on tidal range andsaltwater intrusion in the Pearl River estuary. A dredging project in thePearl River estuary would influence the topography, water dynamics, andmass transport process. The effects of dredging in the channel of thePearl River estuary on tidal range and saltwater intrusion were studiedusing a hydrodynamic model (finite volume coastal ocean model) andhistorical water depth data. The measured data showed that the tidal rangedecreased and saltwater intrusion increased in the North River. The tidalrange increased and saltwater intrusion decreased in the West River inrecent decades from the 1980s. The simulations in this study showed thatafter dredging (1) the upstream flow split ratio in the river changed(i.e. more freshwater flowed through the Sanshui station), whereas lessfreshwater flowed through the Makou station; (2) the tidal range increasedin the West River network and decreased in the downstream reaches of theNorth River network; and (3) the saltwater intrusion increased in the WestRiver mouths and weakened in the North River mouths. These results agreedwith the observed phenomenon. The change in the flow split ratio betweenthe North River and the West River induced by dredging was the fundamentaldynamic that caused changes in both the tidal range and saltwaterintrusion in the Pearl River estuary. ADDITIONAL INDEX WORDS: Numericalmodel, flow split ratio, residual currents, salinity.",2015,,Article in Journal of Coastal Research,31,6,1357-1362,,10.2112/JCOASTRES-D-14-00224.1,,#63,Zhu 2015,,,https://doi.org/10.2112/JCOASTRES-D-14-00224.1,Sanshui,Makou,,,
Towards fair local outcomes in adaptation to sea-level rise,"Graham, Sonia; Barnett, Jon; Fincher, Ruth; Mortreux, Colette; Hurlimann, Anna",,2015,,Clim. Change,130,3,411-424,,,,#64,Graham 2015,,,https://doi.org/nan,,,,,
Landsat imagery shows decline of coastal marshes in Chesapeake andDelaware Bays,"Kearney, Michael S; Rogers, Andrew S; Townshend, John R G; Rizzo, Eric; Stutzer, David; Stevenson, J Court; Sundborg, Karen","Dramatic losses of tidal wetlands in the Mississippi Delta and a few areasalong the U.S. Atlantic coast have raised concerns about whether thesemarshes will survive if global sea level continues to rise due togreenhouse warming [Stevenson et al., 1986]. Original greenhouse warmingsea-level scenarios projected global sea levels several meters or morehigher than present by 2100 [Barth and Titus, 1984], which would result inthe disappearance of all coastal marshes, as the scarcity of marshdeposits from the rapid transgression during the middle Holocene testifies[Rampino and Sanders, 1981]. However, more recent estimates of globalsealevel change suggest that some coastal marshes could survive [Douglaset al., 2000].",2002,,Eos Trans. AGU,83,16,173,,10.1029/2002EO000112,,#66,Kearney 2002,,,https://doi.org/10.1029/2002EO000112,U.S.,al.,,,
Leaf conductance and carbon gain under salt-stressed conditions,"Volpe, V; Manzoni, S; Marani, M; Katul, G",,2011,,J. Geophys. Res.,116,G4,G04035,,10.1029/2011JG001848,,#67,Volpe 2011,,,https://doi.org/10.1029/2011JG001848,,,,,
Water in the Lumbee World: A River and Its People in a Time of Change,"Emanuel, Ryan E","AbstractThis article explores relationships between Lumbee people and theriverine landscapes of their home. I draw upon my lived experience as aLumbee person and my training as an environmental scientist to evaluatethe riverine environment of the Lumbee River as both a template for changeand a fragile resource. The river shapes Lumbee culture and community, onthe one hand, and it is subject to human impacts, on the other. Here, Iexamine the bidirectional relationship between river and people in ahistorical context and also in the context of contemporary issues facingLumbee people, who collectively make up one of the largest Indigenousgroups in the United States and constitute the nation?s largestnon-federally recognized Indian tribe. I frame historical issues relatedto isolation and connectivity of the landscape around a novel topologicalanalysis of historical maps. I use contemporary issues, includingindustrialized agriculture and climate change, to emphasize the complexand evolving relationship between Lumbee people and their riverineenvironment. Recent events, including Indigenous resistance to fossil fuelpipelines and flooding of the community following Hurricane Matthew,reveal challenges and opportunities faced by the tribe in the areas ofenvironmental justice and sovereignty.",2019,,Environ. Hist. Durh. N. C.,24,1,25-51,,10.1093/envhis/emy129,,#71,Emanuel 2019,,,https://doi.org/10.1093/envhis/emy129,the United States,complexand,,,
Evolutionary history influences the salinity preference of bacterial taxain wetland soils,"Morrissey, Ember M; Franklin, Rima B","Salinity is a major driver of bacterial community composition across theglobe. Despite growing recognition that different bacterial species arepresent or active at different salinities, the mechanisms by whichsalinity structures community composition remain unclear. We tested thehypothesis that these patterns reflect ecological coherence in thesalinity preferences of phylogenetic groups using a reciprocal transplantexperiment of fresh- and saltwater wetland soils. The salinity of both theorigin and host environments affected community composition (16S rRNA genesequences) and activity (CO2 and CH4 production, and extracellular enzymeactivity). These changes in community composition and activity rates werestrongly correlated, which suggests the effect of environment on functioncould be mediated, at least in part, by microbial community composition.Based on their distribution across treatments, each phylotype wascategorized as having a salinity preference (freshwater, saltwater, ornone) and phylogenetic analyses revealed a significant influence ofevolutionary history on these groupings. This finding was corroborated byexamining the salinity preferences of high-level taxonomic groups. Forinstance, we found that the majority of α- and γ-proteobacteria in thesewetland soils preferred saltwater, while many β-proteobacteria preferfreshwater. Overall, our results indicate the effect of salinity onbacterial community composition results from phylogenetically-clusteredsalinity preferences.",2015,,Front. Microbiol.,6,,1013,,10.3389/fmicb.2015.01013,,#73,Morrissey 2015,,,https://doi.org/10.3389/fmicb.2015.01013,,,,,
Multiple States in the Sea-Level Induced Transition from TerrestrialForest to Estuary,"Brinson, Mark M; Christian, Robert R; Blum, Linda K","[In this paper we provide a conceptual model to examine changes inecosystem state during the transition from terrestrial forest to shallowestuarine environments for coastal mainland marshes at the Virginia CoastReserve (VCR), United States of America. Ecosystem states arecharacterized by plant community dominants and soil/sedimentcharacteristics. The five states considered are upland or wetland forest,organic high marsh, intertidal mineral low marsh, autotrophic benthic withor without submersed aquatic vascular plants, and heterotrophic benthic(estuarine bottom). Transitions between states are described from theperspective of a fixed forest location undergoing transition from oneecosystem state to another. Rising sea level is acknowledged as the mastervariable that forces the process of change overall. Each state ishypothesized to have self-maintaining properties and thus is resistant tochange from rising sea level; alternatively, transitions between statesare facilitated by disturbance or exposure to acute stress. For change tooccur, resistance must be overcome by events that are more abrupt thanrising sea level and that appear as accentuated pulsings, which result inanother self-maintaining and resistant state. Such events facilitate plantspecies replacement and alter sediment conditions. Mechanisms responsiblefor causing a state to cross a threshold are unique for each transitiontype and include brackish-water intrusion (osmotic stress and sulfidetoxicity), tidal creek encroachment (redistribution of sediments), erosivecurrents and waves (resuspension of sediments, which increases lightextinction), and increasing water depth (leads to greater bottom shading).Field experiments relevant to scales at which pulsings occur are notabundant in coastal marshes.]",1995,,Estuaries,18,4,648-659,,10.2307/1352383,,#76,Brinson 1995,,,https://doi.org/10.2307/1352383,United States of America,,,,
