Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Sea‐level rise and coastal forest retreat on the west coast of Florida, USA","Williams, Kimberlyn; Ewel, Katherine C; Stumpf, Richard P; Putz, Francis E; Workman, Thomas W",,1999,,Ecology,80,6,2045-2063,,,,#18230,Williams 1999,,
Ramifications of increased salinity in tidal freshwater sediments: Geochemistry and microbial pathways of organic matter mineralization,"Weston, Nathaniel B; Dixon, Ray E; Joye, Samantha B",,2006,,Journal of Geophysical Research: Biogeosciences,111,G1,,,,,#18231,Weston 2006,,
Short‐term response of carbon cycling to salinity pulses in a freshwater wetland,"Chambers, Lisa G; Reddy, K Ramesh; Osborne, Todd Z",,2011,,Soil Science Society of America Journal,75,5,2000-2007,,,,#18234,Chambers 2011,,
Coastal wetland adaptation to sea level rise: Quantifying potential for landward migration and coastal squeeze,"Borchert, Sinéad M; Osland, Michael J; Enwright, Nicholas M; Griffith, Kereen T",,2018,,Journal of applied ecology,55,6,2876-2887,,,,#18235,Borchert 2018,,
Saltwater intrusion into tidal freshwater marshes alters the biogeochemical processing of organic carbon,"Neubauer, SC; Franklin, RB; Berrier, DJ",,2013,,Biogeosciences,10,12,8171-8183,,,,#18237,Neubauer 2013,,
"Site condition, structure, and growth of baldcypress along tidal/non-tidal salinity gradients","Krauss, Ken W; Duberstein, Jamie A; Doyle, Thomas W; Conner, William H; Day, Richard H; Inabinette, L Wayne; Whitbeck, Julie L",,2009,,Wetlands,29,,505-519,,,,#18238,Krauss 2009,,
Upslope development of a tidal marsh as a function of upland land use,"Anisfeld, Shimon C; Cooper, Katharine R; Kemp, Andrew C",,2017,,Global change biology,23,2,755-766,,,,#18239,Anisfeld 2017,,
Forest resistance to sea-level rise prevents landward migration of tidal marsh,"Field, Christopher R; Gjerdrum, Carina; Elphick, Chris S",,2016,,Biological Conservation,201,,363-369,,,,#18240,Field 2016,,
The impact of past management practices on tidal marsh resilience to sea level rise in the Delaware Estuary,"Smith, Joseph AM; Hafner, Steven F; Niles, Lawrence J",,2017,,Ocean & coastal management,149,,33-41,,,,#18241,Smith 2017,,
"Linking river, floodplain, and vadose zone hydrology to improve restoration of a coastal river affected by saltwater intrusion","Kaplan, D; Muñoz‐Carpena, R; Wan, Y; Hedgepeth, M; Zheng, F; Roberts, R; Service, R Rossmanith",,2010,,Journal of Environmental Quality,39,5,1570-1584,,,,#18243,Kaplan 2010,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
