,DOI,Col1,Col2,Col3,Col4,Col5,Col6,Col7
18,10.2753/pet1061-1991200469,Economics (1),CAPITAL (1),the Soviet Union (1),pp. (1),United  States (1),republics (1),
19,10.1016/j.scitotenv.2020.138803,DNRA (18),China (13),− (11),N (6),nirK (5),Fuzhou (3),Stockholm (2)
20,10.3390/f12030270,Bedrich (19),Czech Republic (4),mg·l−1 (4),Brno (3),Tukey (3),Placek A. (3),1104–4290 (2)
21,10.1007/BF02913341,Argentina (6),Chloris (5),Paspalum (2),Central Argentina (2),Cynodon (2),Verbena (2),Hypochoeris (2)
22,10.2112/04-0211.1,Maryland (9),New York (7),Virginia (7),Florida (6),New Brunswick (4),KEARNEY (4),Copenheaver (3)
23,10.1109/ICISCT50599.2020.9351467,cid:152 (7),Uzbekistan (3),Abutalieva (2),the Aral Sea (2),Samarkand (1),F.B. (1),E.B. (1)
24,10.1016/0341-8162(88)90008-2,Argentina (3),B21 (3),Taboada (2),West (2),Atlantic (2),W. Germany (1),Province (1)
25,10.1016/j.scitotenv.2020.141244,NaCl (9),Tukey (7),NRT1.1-GFP (3),Hangzhou (1),China (1),Cl− (1),benthamiana (1)
26,10.2136/sssaj2011.0026,NS (14),NaCl (6),Specifi (2),MD (2),"NS

 (2)",NS NS (2),Purvaja (2)
27,"SEA-LEVEL RISE AND COASTAL FOREST RETREAT ON THE WEST COAST OF FLORIDA, USA",the West Coast (1),Florida (1),San Bernardino (1),,,,
28,10.1007/978-3-030-34397-2_4,Portugal (16),Italy (7),Porto (7),Rome (3),Egypt (3),France (3),Germany (3)
29,10.2136/sssaj1996.03615995006000050035x,Spain (7),Madrid (5),Barcelona (2),Central (1),M.C. (1),Escuela (1),Les  Ulis (1)
30,10.1134/S2079096116020037,Dagestan (6),pp. (5),Moscow (5),Makhachkala (3),Caspian Sea (3),the Caspian Sea (2),Kaspiiskoe (2)
31,10.1016/j.ecss.2011.07.012,Arctic (10),Venice (5),Portugal (2),the Gulf of Mexico (2),Thailand (2),Honduras (2),the Black Sea (2)
32,10.1007/s13157-014-0534-1,Nicaragua (9),Central America (4),Pacific (4),the Pacific Coast (3),Netherlands (3),Atlantic (3),East (3)
33,10.3390/su11092578,China (5),the Keriya River (5),Keriya (3),ArcGIS10.1 (2),HOBO (2),Israel (2),Iran (2)
34,10.1007/978-3-319-75088-0_10,GGPP (4),Santa Catarina (3),Brazil (3),Carotenoids (3),Grifﬁths et al (2),Seto (2),Nadolska (1)
35,10.1016/j.jaridenv.2012.04.011,Tamarix (19),Stromberg (7),Denver (4),Smith (4),Montana (3),Sexton (2),0e15 (2)
36,10.1007/s10533-014-9986-x,L-1 (10),Biogeochemistry (4),North Carolina (3),NC (2),Columbia (2),MD (2),N2O (1)
37,10.1029/2005JG000071,the Altamaha River (7),HS(cid:1 (4),N (4),Georgia (3),Canfield (3),Weston (2),Altamaha River (2)
38,10.1016/j.gloplacha.2012.03.008,Paciﬁc Ocean (2),Nunn (2),Kiribati (2),Weir (2),Virani (2),Singapore (1),Paciﬁc (1)
39,10.1016/S0166-2481(04)80005-9,Europe (2),Germany (2),CONCEPTS (1),United  States (1),United  Kingdom (1),Netherlands (1),Soil (1)
40,10.1071/SR13179,Brazil (10),Ceará (3),Spain (3),Hadlich et al (3),Australia (2),the Acaraú River (2),the Acaraú Basin (2)
41,10.1016/j.envsci.2011.02.008,Sci. (14),Europe (13),Mediterranean (11),Ludwig (3),Cambridge (3),Brussels (2),HighNoon (2)
42,10.1007/698_2017_48,Egypt (30),Nile Delta (6),Mediterranean (3),the Nile Delta (3),Africa (2),the Nile River (2),the River Nile (1)
43,10.2112/JCOASTRES-D-10-00185.1,Louisiana (16),eastern delta (3),Coastal Wetlands: A (2),West Palm Beach (2),Florida (2),Wetlands (2),Black (2)
44,10.1073/pnas.1018527108,Arctic (20),Canada (14),Mackenzie Delta (11),M.F.J.P. (7),the Mackenzie Delta (7),J.R.T. (5),Delta (4)
45,10.1016/j.quascirev.2015.02.004,Indus (12),Macklin (10),Ashworth (9),Nile (6),Lewin (6),Field (3),Latrubesse (3)
46,10.1016/B978-0-12-813193-0.00007-2,Australia (6),Ruprecht (4),Dogramaci (3),WA (2),India (2),South Western Australia (2),Africa (2)
47,10.1007/s12665-012-1525-2,Luxor (9),Egypt (6),the Nile River (6),the Nile Valley (5),the west bank (4),Nile River (3),Cairo (3)
48,10.1016/j.ocecoaman.2017.09.010,Smith (7),New Jersey (6),the Delaware Bay (4),Sebold (4),Delaware (3),Weishar (3),Warren (3)
49,10.1029/2018JC014165,Delft (3),the Marshall Islands (2),Pomeroy (2),The Netherlands (1),Netherlands (1),Singapore (1),Rotterdam (1)
50,10.1139/er-2013-0026,Brazil (10),Santa Barbara (7),Hadlich et al (7),Ceará (3),Lana (2),Africa (2),Madagascar (2)
51,10.1021/acs.jafc.9b02947,California (22),MO (3),Scardaci (3),Sacramento (2),Valley (2),Kansas City (2),Tanji (2)
52,10.1007/s100400050026,,,,,,,
53,10.1016/j.geomorph.2007.12.020,Australia (26),Murray River (7),Ogden (5),Stuttgart (4),Murrumbidgee (3),Coorong (3),pp (3)
54,10.1007/s11027-012-9381-7,Ganga (17),Ganga Plain (14),India (9),the Ganga Plain (4),Marginal (3),Bihar (2),Yamuna (2)
55,10.1111/jvs.12774,Phragmites (4),Smith (4),Chesapeake	Bay (3),Washington (2),Maryland (2),Marsh (2),Canoco (2)
56,10.1016/j.agee.2010.05.003,Argentina (4),Rodríguez (2),San Martín 4453 (1),Buenos Aires (1),Freemark (1),Boutin (1),McLaughlin (1)
57,10.1007/s12665-013-2587-5,Mediterranean (5),Morocco (3),the Tahadart Basin (3),PRUDENCE (3),Smith (3),Carneiro (2),North Africa (2)
58,10.1088/1755-1315/663/1/012026,Earth (6),Volga (5),Western Kazakhstan (5),Kazakhstan (3),Russia (2),L S (1),Lobnya (1)
59,10.1007/978-94-017-9499-2_17,Israel (3),Himalayas (1),Sahara (1),Algeria (1),Bighorn Basin (1),Wyoming (1),Middle East (1)
60,10.5194/hess-20-3027-2016,Mekong (25),Lauri (13),Mekong River (11),Sci. (7),Hydrol (7),Cambodia (5),MRC (4)
61,10.1016/j.isprsjprs.2018.12.008,China (8),Yellow River Delta (5),Yellow River (3),Beijing (2),Dongying (2),Hong Kong (1),Inc. (1)
62,10.1016/0031-0182(91)90173-O,n    (4),Greenland (4),Louisiana (4),Mississippi (3),Nile (3),Australia (3),Beach (2)
63,10.1080/00139157.1990.9931055,Australia (4),Earth (2),Smith (2),England (1),London (1),3JH (1),UK (1)
64,10.1111/gcb.12287,UK (2),Greenville (1),North Carolina (1),North  Carolina (1),Belfast (1),Maui (1),Hawaii (1)
65,10.1007/s10452-013-9442-3,Boggy (20),Australia (5),Zooplankton (4),L-1 (4),C. ﬂuviatilis (4),Mundoo Island (3),Lake Alexandrina (3)
66,10.1002/eco.1738,Lake Salvador (11),Louisiana (3),the Mississippi River (3),Dawson (3),Barataria (3),Baton Rouge (2),LA (2)
67,10.1016/j.jenvman.2019.03.101,Atulia (22),Bangladesh (16),Burigoaliny (10),Gabura (8),M.A. Rakib (4),Kashiwanoha (3),Kashiwa (3)
68,10.1016/j.jhydrol.2019.124438,France (4),West Africa (3),Odoulami (2),the Atlantic Ocean (2),Socohou (1),Roland (1),Montpellier (1)
69,10.1039/c4em00683f,Bangladesh (11),the Bay of Bengal (10),West Bengal (4),Bay of Bengal (4),Haldia (4),India (3),UK (3)
70,10.1080/10106049.2020.1856197,Egypt (7),Mut (4),El-Qalamun (4),Mut City (3),Taref (2),Dakhla (2),NE (2)
71,10.1097/00010694-198301000-00010,,,,,,,
72,10.1016/j.scitotenv.2015.01.056,T. Vegas-Vilarrúbia (8),Barcelona (7),Orinoco Delta (6),Spain (4),Wignall (4),Vegas-Vilarrúbia (4),Orinoco (3)
73,10.3390/ijms21010148,China (4),Vigna (3),Tanacetum (3),Zea (3),Triticum (2),Brassica (2),Helianthus (2)
74,10.5670/oceanog.2011.34,Bangkok (6),Tokyo (3),Shanghai (3),Sydney (3),London (2),Netherlands (2),Greenland (2)
75,10.1088/1757-899X/896/1/012047,the Aral Sea (3),Tashkent (2),Samarkand (1),Uzbekistan (1),V.I.Aravina (1),N.I. Khojibaev (1),U. U. Umarova (1)
76,10.1672/08-77.1,Louisiana (13),South Carolina (12),Georgia (10),Waccamaw (5),Waccamaw River (2),Winyah Bay (2),Savannah River (2)
77,10.1051/e3sconf/202016406021,Russia (2),M.A. (2),Marina (1),Tyumen (1),Hayfield (1),Pastureland (1),A.A. (1)
78,10.1088/1755-1315/272/2/022230,Earth (5),Russia (4),Moscow (3),N.I. (1),NM (1),Reshetkina (1),Western Siberia (1)
79,10.2118/176630-ms,Moscow (1),Russia (1),Eastern Siberia (1),mD. (1),NaCl (1),,
80,10.3390/w11051003,the Tarim River (4),China (3),Xinjiang (1),The Tarim River (1),Logan (1),UT (1),Malvern (1)
81,10.1016/j.jhydrol.2012.06.005,Thailand (3),Northeast Thailand (2),Ghassemi (2),Bernardeau (2),NE Thailand (1),Bangkok (1),Kaen (1)
82,10.1080/07352680802665305,Africa (15),Kenya (4),AFRICA (3),Nairobi (2),Gent (2),Belgium (2),England (1)
83,10.1007/s11270-012-1269-3,n.s. (25),Mo (13),Na (5),Zn (5),Hungary (4),Cu (4),Budapest (1)
84,10.1016/j.envexpbot.2020.104254,Sorghum (13),Maryland (7),Tester (7),Kielen (7),Tanji (6),MD (4),Qadir (3)
85,10.1080/00380768.2014.961030,Vietnam (11),Japan (8),Tetsuhiro (3),Kyoto (3),Tokyo (3),Shimadzu (2),Quang Dien (1)
86,10.2112/1551-5036(2004)020[0424/PIOSRF]2.0.CO;2,cid:97)(cid:115 (20),cid:119)(cid:97)(cid:115 (11),cid:97)(cid:108)(cid:115)(cid:111 (8),cid:84)(cid:104)(cid:105)(cid:115 (5),cid:115)(cid:117)(cid:114)(cid:103)(cid:101)(cid:115 (3),cid:76)(cid:97)(cid:103)(cid:111)(cid:111)(cid:110)(cid:115 (3),France (2)
87,10.1007/978-94-007-6652-5_6,Egypt (38),Nile (20),the Nile Delta (6),Mediterranean (4),Aswan (4),Delta (4),Cairo (4)
88,10.1088/2515-7620/ab5e21,Mekong (43),Utrecht (2),Vietnam (2),Zoccarato (2),delta (2),Vermeulen (2),Minderhoud (2)
89,10.1088/1748-9326/aa7146,Mekong (8),Vietnam (8),Ho Chi Minh City (3),Vermeulen (3),Minh (2),Download (1),California (1)
90,10.1016/j.envsci.2012.10.010,Delta (10),Netherlands (9),River (4),DC (3),Snellen (2),Termeer (2),the  DC (2)
91,10.1016/j.jplph.2006.05.017,Na+/K+ (6),India (3),Leghemoglobin (2),Kukreja (2),Cicer (1),Gogorcena (1),Wescor (1)
92,10.1038/s41598-018-29734-7,Mekong (12),BP (7),Vietnam (5),kPa (4),Italy (2),Utrecht (2),The Netherlands (2)
93,10.1016/0921-8181(91)90118-G,n    (4),Greenland (4),Louisiana (4),Mississippi (3),Nile (3),Australia (3),Beach (2)
94,10.1007/s13762-020-02647-7,Mirzavand (14),Iran (4),Kashan (2),Tehran (2),Yaqing (2),Deverel (2),Gallanthine (2)
95,10.1007/s10040-015-1330-6,Mekong (7),China (6),Yangtze (5),Mississippi (5),the Mississippi River Delta (5),Magdalena (4),India (4)
96,10.1007/bf02905197,South Africa (9),South (3),Africa (3),Talbot (3),i.a. (2),Cape (2),Zostera (2)
97,10.1007/s12237-014-9795-4,Delaware (4),KS (4),Armas (2),Pugnaire (2),Earth (1),Warren (1),the East coast (1)
98,10.1016/j.biocon.2016.07.035,New England (9),Niering (8),Warren (8),C.R. (7),Connecticut (7),Smith (4),C.S. (4)
99,10.1002/hyp.7444,the North Basin (20),the South Basin (19),the River Murray (12),River Murray (11),South Basin (10),North (10),South (9)
100,10.3390/su13084476,the Huolin River (5),Huolin River (4),Da’an (4),China (2),The Huolin River (2),the Chagan Lake (2),Criteria (2)
101,10.1016/0016-7061(76)90069-0,Kazakhstan (7),Kazalinsk (6),Amsterdam (1),The Netherlands (1),N (1),V.M. (1),North Kazakhstan (1)
102,10.4141/S98-055,Central Argentina (5),NS (3),Argentina (2),Cynodon (2),WTEC (2),WT (2),Veterinaria (1)
103,10.1071/MF07147,Australia (10),Vallisneria (7),Brock et al (3),Victoria (3),Clayton (1),Smith (1),south-east (1)
104,10.1007/s10661-017-6448-7,the Salado River (6),Salado-River (4),Salado-River basin (3),Argentina (3),Kefford (3),Salado (3),Bragado (3)
105,10.1016/j.scitotenv.2018.06.006,Mahanadi (6),Zarﬂ (5),Volta (4),Highﬁeld (3),Southampton (3),India (3),UK (2)
106,10.1134/S0097807810030036,the Aral Sea (17),Aral Sea (10),the Great Sea (9),Great Sea (8),Small Sea (3),the Small Sea (3),Vozrozhdeniya (3)
107,10.1029/2020EF001525,Greenland (7),Calcarina (5),the Republic of the Marshall Islands (3),West Antarctic (2),Jabat Island (2),Japan (2),Majuro (2)
108,10.1016/j.geoderma.2016.10.030,Nhecolândia (9),Brazil (5),Banhado (4),Kellog (3),Zaidel'man (3),Almeida (3),Banhado lake (3)
109,10.1016/j.chemosphere.2015.03.094,Portugal (5),T. (5),A.J. (4),Reinecke (4),NaCl (3),Princz (3),Eisenia (3)
110,10.1016/S0378-3774(98)00081-X,Australia (4),Thorburn (2),Broadbridge (2),I.D. Jollya (1),Agriculture (1),Bruxner Highway (1),Wollongbar (1)
111,10.1016/j.chemosphere.2013.02.059,UK (10),M.J. (5),Choy (4),Scotland (3),Strontium (3),Qafoku (3),Livens (3)
112,10.1007/978-94-007-6652-5_9,Chad (21),Lake Chad (11),Africa (4),the Sahara Desert (3),Massif (3),Niger (2),Nigeria (2)
113,10.1016/j.scienta.2016.04.033,Nanjing (14),China (14),+  T37 (6),Jiangsu (5),Japan (5),Rhizoctonia (4),Province (2)
114,10.1007/s11284-012-0963-3,Tamarix (5),Italy (3),Germany (3),Mediterranean (2),Kozlowski (1),Flowers (1),Field (1)
115,10.1016/j.scitotenv.2017.11.361,Mekong (38),Vietnam (14),Cambodia (11),Delta (10),China (9),Laos (8),MT (8)
116,10.1016/B978-0-12-811891-7.00002-5,R.J. (6),New Orleans (3),pp. (3),Woodworth (3),Bangkok (3),Wong (2),Myanmar (2)
117,10.1002/eco.1309,Australia (9),Casuarina (7),Armidale (5),WA (3),Toolibin Lake (3),Delft (3),The Netherlands (3)
118,10.1007/s10531-012-0307-1,Spain (7),PN (7),MM (4),Plankton (2),National Park (1),Paterna (1),Madrid (1)
119,10.1007/s41207-021-00257-4,the Kerkennah Islands (9),Kerkennah (4),Tunisia (3),Moscow (2),the Kerkennah archipelago (2),Chergui (2),Russia (1)
120,10.1111/j.1475-2743.1986.tb00693.x,kPa (4),Australia (4),Smith (2),pp. (2),Mclntyre (2),D.S. (2),Ontario (1)
121,10.2307/4002692,Argentina (15),N (15),E.C. (9),Taboada (8),R.S. (5),Facelli (4),Alconada (4)
122,10.1134/S009780781701016X,pp. (7),Starodubtsev (6),Ili (4),Kapchagai (3),Moscow (3),Bogdanets (3),the Ili R. (2)
123,10.1016/j.geodrs.2019.e00239,New Zealand (10),Kaiaua (6),Tchouaffe (3),Cazenave (2),n.d. n.d. n.d. n.d. (2),Hamilton City (1),North Island (1)
124,10.1080/09592290903293852,India (12),Pakistan (11),South Asia (9),Indus (5),Asia (3),Earth (2),Bangladesh (2)
125,10.1002/ldr.3551,UK (14),Lincolnshire (7),North Sea (5),the United Kingdom (3),United Kingdom (2),the North Sea (2),farmland (2)
126,10.1023/A/1024531325281,Australia (3),the Murray River (3),the River Murray (2),Thorburn (2),Netherlands (1),New South Wales (1),Punkah Creek (1)
127,10.1016/j.geoderma.2006.03.019,Aral Sea (13),Central Asia (2),the Aral Sea (2),Israel (1),The Aral Sea (1),Micklin (1),Stulina (1)
128,10.3389/fsufs.2020.533781,India (43),Gujarat (12),Kumar (8),West Bengal (5),Qadir (4),Rajasthan (4),Karnataka (4)
129,10.1007/698_2020_651,the Republic of Adygea (12),the Republic of Adygea Under Exogenous Geological Processes (4),earth (4),Russian Federation (3),Giaginsky District (2),the Republic of Adygea 3 Soil Degradation Due to (1),Moscow (1)
130,10.3390/w11081549,N (5),Germany (5),CW (2),Ks (2),Earth (1),−1 (1),Greifswald (1)
131,10.1016/j.envpol.2019.01.111,Lake Jormasj€arvi (17),Finland (5),the Tuhkajoki River (4),Kauppila (3),Lake Jor- masj€arvi (3),Tuhkajoki River (3),NC (2)
132,10.2175/106143012X13560205145172,China (9),IA (6),lA (4),Xi'an (2),Shaanxi (2),Yeyuhe (2),Qihe (2)
133,10.1134/S2079096114040088,Tsimlyansk (11),Russia (3),TsP12 (3),N.A. Volkova (1),pp. (1),Moscow (1),Rostovskaya (1)
134,10.1016/j.scitotenv.2019.01.390,India (6),the Bay of Bengal (4),Puri (4),Kendrapara (4),Odisha (3),Khordha (3),Bhadrak (3)
135,10.1111/pce.12873,Germany (4),Denmark (3),Crawley (3),Australia (3),mM (3),Neuhofen (2),kPa (2)
136,10.1088/1755-1315/579/1/012036,Earth (7),Russia (5),Moscow (4),the Republic of Kalmykia (3),Yashkul (1),East (1),the Caspian Sea (1)
137,10.1007/s11069-019-03706-0,North Carolina (8),Bhattachan (3),North  Carolina (3),Haywood (2),Netherlands (2),the Albemarle Sound (2),ArcGIS (2)
138,10.1023/A/1006181204765,KC (10),cid:17)2 (5),Triticum (2),Netherlands (1),Assiut (1),Egypt (1),Sigma (1)
139,10.1016/j.ecss.2011.11.005,Bangladesh (7),Gorai river (4),South West (4),the Bay of Bengal (4),node (3),Kamarkhali (3),Gorai (2)
140,10.1111/j.1467-8470.1986.tb00512.x,Australia (18),Basin (5),Groups (2),J.R. (1),C.A. (1),Canberra (1),IV (1)
141,10.1016/j.jhydrol.2008.06.012,Kuiseb (12),Namibia (6),the Namib Desert (4),Lower Kuiseb (4),Campana (4),Germany (2),Israel (2)
142,10.1007/978-3-030-41629-4_7,Egypt (13),Moscow (1),Russia (1),Zagazig (1),Cham (1),Switzerland (1),the Middle Ages (1)
143,10.1134/s1064229308020038,Moscow (5),Astrakhan (4),Barfon (4),the Baer Mounds (3),Russia (3),Mounds (3),pp. (2)
144,10.1016/S0378-3774(01)00160-3,Australia (15),Albany (3),Pannell (2),South Australia (2),Laslett (2),Mediterranean (2),Bentley (1)
145,10.1007/978-3-540-72438-4_27,Namibia (12),South Africa (9),Southern Africa (8),Swaziland (5),Botswana (4),Zimbabwe (3),"Southern Africa  

 (3)"
146,10.1007/s10533-016-0189-5,North Carolina (4),Biogeochemistry (4),the Albemarle Sound (4),NC (3),L-1 (3),Ardo´n (2),Ohio (2)
147,10.3390/hydrology6030080,the Tigris River (8),Tigris River (7),the Arabian Gulf (6),HEC (6),Basrah Province (3),the River-Surveyor (3),Euphrates (3)
148,10.1016/j.ocecoaman.2015.11.009,the Yellow River Delta (12),China (5),Yellow River Delta (5),the Yellow River (3),Beijing (2),Shandong Province (2),Dongying (2)
149,10.1111/sjtg.12021,Paciﬁc Island (18),Nunn (15),the Paciﬁc Islands (9),Fiji (8),Paciﬁc Islands (4),Paciﬁc (4),Micronesia (2)
150,10.1016/S1364-8152(98)00003-6,the River Murray (10),Australia (5),Monoman Island (3),River Murray (2),MDBC (2),Canberra (1),Groundwater (1)
151,10.3390/su7010866,Europe (6),China (5),India (4),earth (2),Pakistan (2),Iowa (2),United  States (2)
152,10.1016/j.chemosphere.2019.125646,Bangladesh (13),Japan (4),Kashiwanoha (3),Kashiwa (3),M.A. (2),Md. (2),M.A. Rakib (1)
153,10.1890/ES12-00269.1,El Paso (11),Mexico (9),the Middle Rio Grande (3),New Mexico (3),the El Paso (2),the Middle East (2),Africa (2)
154,10.1029/2019JG005217,Chongming (15),China (9),Dongtan (6),Shanghai (3),the Yangtze River Estuary (3),Phragmites (2),Yangtze (2)
155,10.1071/BT05020,Overton (9),South Australia (7),Modelling (5),Australia (3),the River Murray (3),Urrbrae (2),New South Wales (2)
156,10.7343/as-2016-192,Ostia (26),Rome (16),Ostia Antica (11),AQUA2015 (6),Italy (5),Roma (5),Tiber River (5)
157,10.1061/(ASCE)0733-9437(2007)133/4(359),Basin (10),Universidad (7),Australia (6),the Murray River (3),New South Wales (2),Victoria (2),Wakool River (2)
158,10.1016/B978-008045405-4.00621-2,"Washington, DC: (5)",Costa Rica (3),New York City (3),Earth (2),CA (1),Coastal (1),California (1)
159,10.1007/s10533-021-00797-5,North Carolina (4),Gull Rock (3),Swanquarter (3),Swanquar- (2),Palmetto Peartree Preserve (2),0.01b (2),Raleigh (1)
160,10.3390/rs10081280,Alaska (4),Arctic (1),Betula (1),Anchorage (1),GA (1),Grid (1),KME (1)
161,10.1007/978-3-030-66238-7_7,Iraq (3),Boca Raton (1),"Auckland, New Zealand (1)",Cham (1),Switzerland (1),,
162,10.1002/2016EF000530,Bangladesh (17),UK (2),Khulna (2),Barisal (2),Modelling (1),Southampton (1),Liverpool (1)
163,10.3390/jmse5040049,Norfolk (7),Australia (5),France (5),UK (4),The Netherlands (3),Europe (3),Berlin (2)
164,10.1007/s10021-021-00686-w,North Carolina (4),HUC (4),Louisiana (3),Gulf (2),Landsat (2),Akaike (2),Charlottesville (1)
165,10.1093/aob/mcz039,North Carolina (10),North  Carolina (7),North Carolina’s (3),NC (3),Battaglia (3),Coastal Plain (3),Liquidambar (3)
166,10.1016/j.scitotenv.2016.07.198,Nueces River (8),Texas (4),Br− (3),Shafer (2),Nueces Bay (2),Hopkins (2),− (2)
167,10.1111/j.1438-8677.2012.00597.x,Tamarix (10),Netherlands (4),Italy (3),Mediterranean (3),N (3),Viterbo (1),T. africana (1)
168,10.1016/j.jaridenv.2011.11.025,Tucson (3),the Lower Colorado River (3),Nagler (3),Parker (3),Hoover Dam (2),the Colorado River (2),Arizona (2)
169,10.1007/BF00039808,Limonium (4),Bergh (3),Netherlands (2),+  H.  portulacoides (2),"The Netherlands 

Keywords (1)",Maarel (1),Vegetatio (1)
170,10.1080/03721426.2018.1546423,River Murray (10),the River Murray (6),Australia (4),the North Basin (4),the South Basin (4),Nielsen (3),Loveday (3)
171,10.1016/j.jhydrol.2011.08.008,Lake Eyre (38),Australia (14),Cenozoic (10),d2H (8),the Lake Eyre Basin (5),the Diamantina River (4),Melbourne (3)
172,10.1093/aobpla/plv020,Panta (2),BN1 9QG (1),UK (1),Vito (1),Calabria (1),Italy (1),Limonium (1)
173,10.4081/ija.2009.s3.151,più (11),N.3 (7),la (6),Europa (4),sia (4),necessità (3),oltre (3)
174,10.1016/B978-0-12-396483-0.00009-1,New York (4),Bangkok (4),Grand Isle (3),London (2),Tokyo (2),Shanghai (2),Nicholls (2)
175,10.1007/s10021-018-0325-2,L-1 (5),Weston (4),North Carolina (3),N2O (3),California (2),Mason (2),Ohio (2)
176,10.5194/bg-10-8171-2013,Weston (5),Bridgham (3),South Carolina (2),Richmond (2),Virginia (2),the Waccamaw River (2),Waccamaw River (2)
177,10.1007/s10040-011-0784-4,Venice (18),Italy (6),Zezza (3),the Adriatic Sea (2),Adriatic Sea (2),Kouzana (1),Rapaglia (1)
178,10.1371/journal.pone.0216540,North Carolina (7),Bird (2),the Albemarle Sound (1),the Croatan Sound (1),the Pamlico Sound (1),the Neuse River (1),Blue Grosbeak (1)
179,10.1007/s12665-017-6570-4,Senegal River (31),the Senegal River (26),Senegal (12),Mauritania (8),Guinea (7),Baﬁng (6),Bakoye (6)
180,10.1163/15685314-04803010,Bangladesh (6),Shora (6),Sydney (3),New South Wales (3),Australia (3),leiden (1),Earth (1)
181,10.1111/wej.12116,Paciﬁc Ocean (3),Pokfulam (2),Hong Kong (2),Underwood (2),Kiribati (2),Dubai (1),United Arab Emirates (1)
182,10.1016/S0341-8162(02)00093-0,the Rhone River (13),the Rhone Delta (4),France (3),United Kingdom (3),Mediterranean (3),the Little Ice Age (2),The Rhone River (2)
183,10.1016/j.jhydrol.2017.09.014,Germany (4),Pott (2),T. (1),Oldenburg (1),the North Sea (1),Lebbe (1),Klassen (1)
184,10.1016/j.ecoleng.2014.11.014,Australia (12),South (10),Alaghmand (10),Holland (7),Malaysia (4),Lower  Murray  River (3),Newton (3)
185,10.1016/S0022-1694(02)00013-6,cid:6)(cid:19)9(cid:10)(cid:3 (3),cid:4)78(cid:14)(cid:13 (2),cid:6)(cid:7 (2),cid:6)(cid:26)(cid:7 (2),cid:6)(cid:26)(cid:7)(cid:12)(cid:15)(cid:16)(cid:4)(cid:3)(cid:5)(cid:2)(cid:16)(cid:7)(cid:5)(cid:19)(cid:10 (1),cid:21)(cid:4)1 (1),cid:6)(cid:9)(cid:3 (1)
186,10.1111/1365-2664.13169,Florida (15),Louisiana (14),Mississippi (10),Texas (8),Gulf of Mexico (8),LA (8),Alabama (6)
187,10.1016/j.ecolmodel.2010.01.012,China (6),the Yellow River (5),the Yellow River Delta (4),Eq (2),Eqs (2),Beijing (1),Kumar (1)
188,10.1016/S0378-3774(98)00075-4,Thorburn (6),Australia (3),Broadbridge (3),Zf (3),P.J. (2),Walker (2),Jolly (2)
