,Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
80,Saltwater intrusion in the upper tagus estuary during droughts,"Rodrigues, M.; Fortunato, A.B.; Freire, P.","Droughts reduce freshwater availability and have negative environmental, economic, and social impacts. In estuaries, the dynamics between the saltwater and the freshwater can be affected during droughts, which can impact several natural resources and economic sectors negatively. The Tagus estuary is one of the largest estuaries in Europe and supports diverse uses and activities that can be affected by the saltwater intrusion (e.g., agriculture). This study assesses the saltwater intrusion in the upper reaches of the Tagus estuary using a process-based model to explore different scenarios of freshwater discharge and sea level rise. For the river discharge and mean sea level rise scenarios analyzed, salinity can reach concentrations that are inadequate for irrigation when the mean Tagus river discharge is similar or lower than the ones observed during recent droughts (22-44 m3/s). Lower river discharges aggravate the consequences. Results also show that the salinity increases with the duration of the droughts. In contrast, the impact of a moderate sea level rise on salinity intrusion is modest when compared with the impact of low river discharges. These findings contribute to support the management of the agricultural activities in the upper Tagus estuary and the water resources in the Tagus river basin. © 2019 by the authors.",2019,,Geosciences,9,9,,,10.3390/geosciences9090400,,#15289,Rodrigues 2019,,
82,Saltwater Intrusion in the Pearl River Estuary (China): Variation Characteristics and Cause Analysis,"Wang, H.; Li, W.; Zuo, C.; Dong, J.; Li, C.; Xu, H.; Liu, Q.; Pan, S.","The characteristics and influence factors of saltwater intrusions in the Pearl River Estuary were analyzed with tide gauge observation data, sea-level rise impact investigation data, and discharge data. The results show that (1) Seasonal variations in saltwater intrusion in the Pearl River estuary are obvious. Intrusion usually begins in September-October and ends in March-April of the following year. More saltwater is present in January, February, and October, which all had more than 10 events in the last 10 years. The number of saltwater intrusions fluctuated during 2009-2018, with the highest number of 14 in 2010 and the lowest of 2 in 2015. The annual saltwater intrusion duration increased obviously during 2015-2018 and lasted 171 days in 2018. (2) The integrated influence factor of sea level and discharge is closely related to frequency and duration of saltwater occurrence, with correlation coefficients of 0.7 and 0.5, respectively (95% confidence). From January to March, the Pearl River is in the dry season, and the integrated influence factor of sea level and discharge is positive, corresponding to more saltwater intrusions. From April to August, the seasonal sea level is low and discharge is high, resulting in a negative integrated influence factor of sea level and discharge and nearly no saltwater intrusion. From September to December, the seasonal sea level is high and the discharge is low. The integrated influence factor of sea level and discharge is higher than 1, corresponding to the high occurrence of saltwater intrusions. (3) Astronomical high tides mostly occur during return tides. The combination of astronomical tides and storm surges aggravates saltwater intrusions and their influence. (4) Countermeasures, including saltwater monitoring and forecasting, river basin management, and water conservation, are suggested to effectively address saltwater intrusion. © ",2020,,J. Coast. Res.,36,6,1145-1153,,10.2112/JCOASTRES-D-19-00130.1,,#15291,Wang 2020,,
83,Impacts of Saltwater Intrusion on Wetland Prey Production and Composition in a Historically Freshwater Marsh,"Romañach, S.S.; Beerens, J.M.; Patton, B.A.; Chapman, J.P.; Hanson, M.R.","Sea level rise is a fundamental driver of ecosystem change and has the potential to shift the spatial distributions of habitats more rapidly than species can adapt. Rapid sea level rise and associated saltwater intrusion have negative impacts on coastal environments, including loss of habitat for species such as sea turtles and shorebirds. In Florida’s largest wetland, the Everglades, the availability of small fishes that are prey for wading birds serve as an indicator of ecosystem health. In the southwestern part of the ecosystem, sea level rise and a reduction in freshwater flow have converted formerly freshwater marsh into an estuarine mangrove-dominated landscape. In this study, we sampled fish communities in this southwest portion of the Everglades exposed to a range of saline conditions. Biomass of native fishes was highest at a salinity value of approximately 25 parts per thousand, while non-native biomass decreased with increasing salinity. Applying salinity change scenarios, we determined that a 10% reduction from the salinity levels recorded in this study would be optimal for biomass of native fishes. The baseline data we collected on non-native fishes at the site will be useful for monitoring as restoration progresses and for managers working on invasive species control. This region has been actively undergoing ecosystem restoration for the last decade, but restored freshwater flow closer to historical conditions is still years away. Without increased freshwater inflow from hydrologic restoration, rising sea levels and saltwater intrusion may provide conservation challenges for wading birds and their prey-base fishes. © 2019, This is a U.S. government work and its text is not subject to copyright protection in the United States; however, its text may be subject to foreign copyright protection.",2019,,Estuar. Coasts,42,6,1600-1611,,10.1007/s12237-019-00572-8,,#15292,Romañach 2019,,
93,Visualizing coastal risks in the Fraser River Delta,"Lokman, K.","Sea level rise (slr) is among the greatest challenges faced by contemporary society. The potential risks posed by slr involve inundation, population displacement, coastal erosion, wetland loss, saltwater intrusion, and rising water tables. This will have major implication for economic centers, as well as small island nations. In this context, this article examines how geospatial analysis, mapping and visualization can help build critical awareness to ensure that decision-makers and the general public have the knowledge and tools to make informed decisions on coastal adaptation. Using the Fraser River Delta as a case study, the article highlights different visualization methods to support policymakers, scientists, planners, engineers, and designers in analyzing, visualizing and re-imagining coastal areas. The article concludes with a discussion on how these methods can be applied to the Pacific Islands Region. © 2020 Societe des Oceanistes. All rights reserved.",2020,,J. Soc. Ocean.,149,2,267-280,,10.4000/jso.11136,,#15307,Lokman 2020,,
97,Divergent biotic and abiotic filtering of root endosphere and rhizosphere soil fungal communities along ecological gradients,"Lumibao, C.Y.; Kimbrough, E.R.; Day, R.H.; Conner, W.H.; Krauss, K.W.; van Bael, S.A.","Plant roots assemble in two distinct microbial compartments: the rhizosphere (microbes in soil surrounding roots) and the endosphere (microbes within roots). Our knowledge of fungal community assembly in these compartments is limited, especially in wetlands. We tested the hypothesis that biotic factors would have direct effects on rhizosphere and endosphere assembly, while abiotic factors would have direct and indirect effects. Using a field study, we examined the influences of salinity, water level and biotic factors on baldcypress (Taxodium distichum) fungal communities. We found that endosphere fungi, unlike rhizosphere fungi, were correlated with host density and canopy cover, suggesting that hosts can impose selective filters on fungi colonizing their roots. Meanwhile, local abiotic conditions strongly influenced both rhizosphere and endosphere diversity in opposite patterns, e.g. highest endosphere diversity (hump-shaped) and lowest rhizosphere diversity (U-shaped) at intermediate salinity levels. These results indicate that the assembly and structure of the root endosphere and rhizosphere within a host can be shaped by different processes. Our results also highlight the importance of assessing how environmental changes affect plant and plant-associated fungal communities in wetland ecosystems where saltwater intrusion and sea level rise are major threats to both plant and fungal communities. © FEMS 2020.",2021,,FEMS Microbiol. Ecol.,96,7,,,10.1093/FEMSEC/FIAA124,,#15312,Lumibao 2021,,
99,A Tale of Two Hydrogeology Problems in Coastal North Carolina,"Manda, A.K.","This chapter highlights two tales describing the techniques scientists use to investigate how groundwater and surface water in coastal regions are threatened by saltwater intrusion. Crop production and water supply to communities are being increasingly affected. In the first tale, researchers document how they use computer models to determine the mechanisms by which saltwater intrusion is happening beneath a barrier island in North Carolina, USA, that is popular with tourists. The second tale, also from North Carolina, details the extent to which scientists will go to understand saltwater intrusion occurring in natural and artificial channels that traverse low-lying coastal regions. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2021.",2021,,Springer Clim.,,,123-135,,10.1007/978-3-030-52383-1_8,,#15316,Manda 2021,,
102,Effects of diversity and coalescence of species assemblages on ecosystem function at the margins of an environmental shift,"Werba, J.A.; Stucy, A.L.; Peralta, A.L.; McCoy, M.W.","Sea level rise is mixing formerly isolated freshwater communities with saltwater communities. The structure of these new aquatic communities is jointly controlled by pre- and post-colonization processes. Similarly, since salinity is a strong abiotic determinant of post-colonization survival in coastal systems, changes in salinity will likely impact community composition. In this study, we examine how a strong abiotic gradient affects the diversity and structure of bacterial and zooplankton communities and associated ecosystem functions (decomposition and carbon mineralization). We ran a six week dispersal experiment using mesocosm ponds with four distinct salinity profiles (0, 5, 9, and 13 psu). We find that salinity is the primary driver of both bacterial and zooplankton community composition. We find evidence that as bacterial richness increases so does the amount of decomposition. A phenomenological model suggests carbon mineralization may decrease at mid-salinities; this warrants future work into possible mechanisms for this apparent loss of function. Understanding how salinization changes community structure and ecosystem function may be paramount for managing and conserving coastal plain ecosystems where salinity is increasing due to sea level rise, saltwater intrusion, storm surges, and drought. Copyright © 2020 Werba et al.",2020,,PeerJ,2020,3,,,10.7717/peerj.8608,,#15320,Werba 2020,,
103,Assessing the “superposed” effects of storm surge from a Category 3 hurricane and continuous sea-level rise on saltwater intrusion into the surficial aquifer in coastal east-central Florida (USA),"Xiao, H.; Tang, Y.","Saltwater intrusion into the surficial aquifer in coastal east-central Florida (USA) due to the effects of storm surges from tropical cyclones and continuous sea-level rise is a detrimental issue resulting in groundwater quality deterioration and bio-diverse ecosystem degradation. In this study, groundwater flow and salinity transport models using SEAWAT are developed for quantifying the “superposed” effects of storm surge (SS) from a Category 3 hurricane (Hurricane Jeanne which hit the Florida Atlantic coast on September 24–27, 2004) and continuous sea-level rise (SLR) on saltwater intrusion (SWI) into the surficial aquifer in coastal east-central Florida from the year of 2004 to 2024, and the simulated time-variant extent of SS- and SLR-induced landward migration of saline groundwater is compared for determination of whether the effects of SS from a Category 3 hurricane or continuous SLR on SWI are more significant. Results indicate that (1) the effects of SS are more significant than the effects of SLR within the first 12, 10, or 9 years after its occurrence date if sea level rises in low, mid, or high rate; (2) the effects of SS are more significant than the effects of SLR if SS occurs at least once within its return period (8–12 years); and (3) the maximum effects of SS are “equivalent” to the effects of the 95-year SLR, 45-year SLR, or 28-year SLR if sea level rises to 0.3 m in low, mid, or high rate. The outcome of this study warns public to pay more attention to the detrimental “superposed” effects of SS and SLR on SWI into the surficial aquifer in coastal east-central Florida. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",2019,,Environ. Sci. Pollut. Res.,26,21,21882-21889,,10.1007/s11356-019-05513-3,,#15322,Xiao 2019,,
105,"Modeling Floodplain Inundation, Circulation, and Residence Time Under Changing Tide and Sea Levels","Sullivan, J.C.; Wan, Y.; Willis, R.A.","Sea-level rise will have unknown effects on the structure and function of valuable tidal freshwater floodplains. One reason for this knowledge gap is our poor constraint on the physical controls on complex floodplain inundation and circulation processes. Here, a high-resolution light detection and ranging (lidar) digital elevation model (DEM) is applied to fine-scale numerical simulations of flow and tracer exchange in a 0.43 km2 river floodplain in Southeast Florida, USA. The sequence of inundation and associated circulation patterns is assessed at 1-h intervals of the rising and falling tide in the context of floodplain geomorphic structure. The depth averaged velocity vectors show concomitant flow divergence and convergence over small spatial scales, and this complexity arises from the submergence and emergence of subtle floodplain topography over the tidal cycle. Tracer exchange and associated residence times highlight the controls of floodplain topography on water storage at the end of the ebb cycle, or during low river stages. The effects of a 0.2 m and 0.5 m increase in mean sea level on inundation extent and water retention times were also assessed. Percent change in inundated area and associated e-folding times reveal greater lateral inundation extent and a 20% increase in water retention times with up to a 0.5 m increase in mean sea level. This work reveals the topographic influence on how, when, and where sea level rise will impact the freshwater floodplain through increased hydro period and saltwater intrusion, and the importance of evaluating floodplain restoration benefits in the context of fine-scale surface flow processes and sea-level rise. © 2020, Coastal and Estuarine Research Federation.",2020,,Estuar. Coasts,43,4,693-707,,10.1007/s12237-020-00709-0,,#15325,Sullivan 2020,,
107,Investigation of transient sea level rise impacts on water quality of unconfined shallow coastal aquifers,"Ranjbar, A.; Cherubini, C.; Saber, A.","This study analyzes the impacts of 1 m gradual and instantaneous sea level rise combined with pumping activity on seawater wedge toe location in a shallow coastal aquifer located in the southern shores of the Caspian Sea. The gradual sea level rise scenario investigates the transition variation of seawater wedge toe due to linear and parabolic between the years 2015 and 2100. Moreover, the maximum value of saltwater intrusion due to variations in hydraulic conductivity and aquifer’s recharge rates is analyzed and compared with flux-controlled and head-controlled boundary condition systems. A tree model is also applied to develop a linear regression between the sea level rise and aquifer parameters derived from different real coastal aquifers in the literature. The results indicate that 1 m gradual sea level rise in the study area by the end of the year 2100 considering all 1320 pumping wells leads to a 6.5% depletion of freshwater volume. The results also show that the peak saltwater intrusion rate during nonlinear gradual sea level rise rises with increasing the aquifer depth and horizontal hydraulic conductivity and the time to reach the saltwater intrusion peak rate considering the current recharge rate of an aquifer is about 48 m. The maximum saltwater intrusion lengths estimated by the tree model are 48 m and 10.42 m for head-controlled and flux-controlled boundary conditions, respectively, indicating that the saltwater intrusion in the aquifer due to instantaneous seal level rise is closer to head-controlled boundary conditions. © 2020, Islamic Azad University (IAU).",2020,,Int. J. Environ. Sci. Technol.,17,5,2607-2622,,10.1007/s13762-020-02684-2,,#15328,Ranjbar 2020,,
108,"Modelling seasonal flows alteration in the Vietnamese Mekong Delta under upstream discharge changes, rainfall changes and sea level rise","Anh, D.T.; Hoang, L.P.; Bui, M.D.; Rutschmann, P.","The Vietnamese Mekong Delta (VMD) is one of the world’s most vulnerable deltas to climate change and sea level rise. Adequate understandings of future hydrological changes are crucial for effective water management and risk-proofing, however, this knowledge body is currently very limited. This study quantifies the responses of the VMD’s river flow regime to multiple stimuli, namely future upstream inflow variation, local climate change, and sea level rise. The one-dimensional hydrodynamic model MIKE 11 was used to simulate discharges and water levels across the delta. We developed four scenarios to represent changes in the upstream discharges, precipitation changes and sea level rise, covering the 2036–2065 period. We downscaled climate data and applied three bias-correction methods for five General Circulation Models (GCM), and two Representative Concentration Pathways (RCPs). The climate change projections show similar trends of increasing wet season precipitation and decreasing dry season precipitation. However, cross-scenario variations are sometimes large, depending on the individual GCMs, the RCPs and specific locations. The hydraulic simulation results indicate that, under discharge changes between −20% and +10%, combined with in-delta precipitation variations during the dry season, river discharges at the four representative stations could reduce substantially from −2.5% to −100.2%. During the wet season, the calculated river discharges show increase between 7.3% and 46.7% under four considered scenarios. Substantial changes in the VMD’s river flow regime could have potentially serious implications for water management, especially saltwater intrusion, and therefore calling for timely adaptation measures. © 2018, © 2018 International Association for Hydro-Environment Engineering and Research.",2019,,Int. J. River Basin Manage.,17,4,435-449,,10.1080/15715124.2018.1505735,,#15329,Anh 2019,,
111,Effect of saltwater intrusion on activated sludge flocculation,"Berde, M.; Jolis, D.","Saltwater addition negatively impacted the settling properties of the activated sludge in a sequencing batch reactor, which in turn caused the effluent quality and the dewatering properties to deteriorate. Experiments showed that increasing sodium ion concentrations above 1 meq/L interfered with bio-flocculation by ion exchange of calcium ions displaced by sodium in mixed liquor flocs, causing increases in the sludge volume index, total suspended solids, and chemical oxygen demand concentrations of the final effluent and in the times of the time to filter test of the mixed liquor. Experiments were also conducted to reverse mixed liquor de-flocculation by adding calcium ions in wastewater with different sodium chloride concentrations and a positive relationship was found between calcium ion added and improved effluent quality. Calcium ion concentrations above 1.6 meq/L proved to be beneficial for adhesion of microbial aggregates leading to the formation of stable flocs and improved sludge dewatering by reversing the ion exchange phenomenon observed with sodium concentrations above 1 meq/L. Monovalent-to-divalent ratios did not provide predictive information on de-flocculation. Hence, individual ion concentrations in addition to monovalent-to-divalent cation ratios are important in the onset of de-flocculation effects while a system-specific concentration threshold was measured under which no adverse effects were observed. Practitioner points: The adverse effects of varying concentrations of sodium chloride on the biological process affecting bioflocculation and effluent quality. Impact of sodium on the health of the mixed liquor as well as on dewatering processes. Prediction of sea level rise due to climate change will impact utilities situated along the coast with saltwater intrusion problems. Management of dewatered flows containing saltwater from onsite construction Identify management practices to reduce the impact of saltwater on the wastewater treatment plant. © 2020 Water Environment Federation",2021,,Water Environ. Res.,93,5,750-761,,10.1002/wer.1455,,#15334,Berde 2021,,
112,Origin and Dynamics of Saltwater Intrusion in a Regional Aquifer: Combining 3-D Saltwater Modeling With Geophysical and Geochemical Data,"Meyer, R.; Engesgaard, P.; Sonnenborg, T.O.","Worldwide, aquifers in low-lying coastal areas are threatened by saltwater occurrence, as a result of small head gradients, high groundwater abstraction rates, and drain management of the landscape, which is likely to intensify with climate change. Numerical models can serve as tools to identify the sources of the salt and thus to increase understanding of the driving mechanisms and important parameters controlling the extent of saltwater intrusions. This way, areas vulnerable to sea level rise can be identified and managed. Challenges include unknown initial salt concentrations, heterogeneous geology, and anthropogenic alterations. In this study, hydrogeological, geophysical, and geochemical data are used to develop a numerical density-dependent groundwater flow and transport model with the objective to understand the history of a saltwater-affected groundwater system and its likely response to historic and future changes. The extent of the simulated saltwater intrusion compares well with Airborne Electromagnetic data that show salt water up to 20 km inland. The results reveal that the salt water originates from a combination of laterally intruding seawater and vertically infiltrating transgression water. Main features controlling the progression of the modern seawater into the coastal aquifers are high permeable, deep Miocene sand aquifers, buried valleys that provide preferential flow paths in combination with extensive Miocene clay layers that delay saltwater intrusion. Anthropogenic activity enhances the saltwater inflow from the ocean and induces transient conditions. Future scenarios show that saltwater progression due to nonstationarity leads to enhanced contamination of the deeper aquifers. Climate change affects primarily the shallow aquifer systems. ©2019. The Authors.",2019,,Water Resour. Res.,55,3,1792-1813,,10.1029/2018WR023624,,#15335,Meyer 2019,,
113,Carbon mineralization in tidal freshwater marsh soils at the intersection of low-level saltwater intrusion and ferric iron loading,"Luo, M.; Zhai, Z.; Ye, R.; Xing, R.; Huang, J.; Tong, C.","Low-level saltwater intrusion and ferric iron (Fe(III)) loading are predicted for many mineral tidal freshwater ecosystems under sea-level rise. To assess their effects on the carbon mineralization processes, in-situ experiments were conducted with four treatments: Fe(III) amendment, saltwater addition, saltwater addition plus Fe(III) amendment, and a control. Soil and porewater samples (0–30 cm) were collected to assess geochemical properties and soil incubation on Days 460 and 580 after the start of the experiment. Saltwater addition increased the salinity from freshwater (0.1 mg·g−1) to oligohaline (<2 mg·g−1) and elevated the concentrations of porewater Cl−, SO4 2−, and NH4 +. Fe(III) amendment increased the concentrations of soil Fe(III), Fe(II), and total reduced sulfur (TRS). Both Fe(III) amendment and saltwater addition enhanced the belowground biomass of marsh plants, while neither affected the total organic carbon (TOC) and total nitrogen (TN) pools or their ratios. Both Fe(III) amendment and saltwater addition improved the overall mineralization rates (i.e., CO2 plus CH4 production) of the soil at 0–10 cm depths. Methanogenesis decreased under both Fe(III) amendment and saltwater addition. Strong negative relationships were observed between methanogenesis rates and the concentrations of porewater Cl− and SO4 2−, and soil Fe(III). Relative to the individual Fe(III) and saltwater treatments, the combined treatment did not further promote overall mineralization rates or further impede methanogenesis potential. Methanogenesis and Fe(III) reduction co-dominated the overall mineralization in the control treatment. Individual loading of Fe(III) and saltwater into the soils induced the predominance of Fe(III) and sulfate reduction, respectively. Under the combined treatment, microbial Fe(III) and sulfate reduction co-dominated the overall mineralization, but restrained each other. The shifts in the partitioning of mineralization pathways among treatments were primarily influenced by porewater Cl− and SO4 2−, followed by Fe(III), and then DOC. Together, the results suggest that the projected modest levels of saltwater intrusion and Fe(III) loading may simultaneously accelerate the belowground C input and mineralization rates, shifting anaerobic pathways away from CH4 production towards Fe(III) and sulfate reduction. © 2020 Elsevier B.V.",2020,,Catena,193,,,,10.1016/j.catena.2020.104644,,#15337,Luo 2020,,
114,Toward a mechanistic understanding of “peat collapse” and its potential contribution to coastal wetland loss,"Chambers, L.G.; Steinmuller, H.E.; Breithaupt, J.L.","Coastal wetlands are susceptible to loss in both health and extent via stressors associated with global climate change and anthropogenic disturbance. Peat collapse may represent an additional phenomenon contributing to coastal wetland loss in organic-rich soils through rapid vertical elevation decline. However, the term “peat collapse” has been inconsistently used in the literature, leading to ambiguities regarding the mechanisms, timing, and spatial extent of its contribution to coastal wetland loss. For example, it is unclear whether peat collapse is distinct from general subsidence, or what biogeochemical changes or sequence of events may constitute peat collapse. A critical analysis of peer-reviewed literature related to peat collapse was supplemented with fundamental principles of soil physics and biogeochemistry to develop a conceptual framework for coastal wetland peat collapse. We propose that coastal wetland peat collapse is a specific type of shallow subsidence unique to highly organic soils in which a loss of soil strength and structural integrity contributes to a decline in elevation, over the course of a few months to a few years, below the lower limit for emergent plant growth and natural recovery. We further posit that coastal wetland peat collapse is driven by severe stress or death of the vegetation, which compromises the supportive structure roots provide to low-density organic soils and shifts the carbon balance of the ecosystem toward a net source, as mineralization is no longer offset by sequestration. Under these conditions, four mechanisms may contribute to peat collapse: (1) compression of gas-filled pore spaces within the soil during dry-down conditions; (2) deconsolidation of excessively waterlogged peat, followed by transport; (3) compaction of aerenchyma tissue in wetland plant roots, and possibly collapse of root channels; and (4) acceleration of soil mineralization due to the addition of labile carbon (dying roots), oxygen (decreased flooding), nutrients (eutrophication), or sulfate (saltwater intrusion). Scientists and land managers should focus efforts on monitoring vegetation health across the coastal landscape as an indicator for peat collapse vulnerability and move toward codifying the term “peat collapse” in the scientific literature. Once clarified, the contribution of peat collapse to coastal wetland loss can be evaluated. © 2019 The Authors. Ecology published by Wiley Periodicals, Inc. on behalf of Ecological Society of America",2019,,Ecology,100,7,,,10.1002/ecy.2720,,#15338,Chambers 2019,,
116,"Food Security Concerns, Climate Change, and Sea Level Rise in Coastal Cameroon","Abia, W.A.; Onya, C.A.; Shum, C.E.; Amba, W.E.; Niba, K.L.; Abia, E.A.","Food security is a major public health priority in Cameroon, amidst climate change and sea level rise (CC/SLR), vis-à-vis the ever-increasing population growth with associated challenges. CC/SLR, singly or combine, is well known to have severe impacts on agricultural productivity, food security, socioeconomic activities and ecosystem (environment, plant and animal) health systems in coastal areas. They contribute to natural disasters including erosion, flooding, inundation of coastal lowlands, and saltwater intrusion, altogether reducing agricultural productivity. Additionally, these disasters provoke adverse animal, human, and environmental health implications; reduction in tourism; and potential close of some socioeconomic activities that constitute secondary (after agriculture), or main source of livelihood/income for many coastal indigents. Although there are inadequate reports on the impacts of CC/SLR, preliminary reports point to negative effects on crop production and socioeconomic activities in coastal Cameroon. This chapter highlights the susceptibility of coastal Cameroon agriculture and socioeconomic activities to CC/SLR. Furthermore, it has propose agricultural (CC/SLR and non-climatic) and educational intervention socioeconomic strategies for the mitigation and adaptation to CC/SLR and for sustainable agricultural productivity in coastal Cameroon. The proposed strategies may provide a small contribution toward a wider multi-stakeholder pool of strategies and which, when applied, may enhance food security in coastal Cameroon amidst CC/SLR and promote socioeconomic and touristic activities while reducing negative implications on animal, plant, human, and environmental health. © The Editor(s) (if applicable) and The Author(s) 2021.",2021,,African Handb. of Climate Change Adaptation: With 610 Figures and 361 Tables,,,261-273,,10.1007/978-3-030-45106-6_21,,#15341,Abia 2021,,
119,Mitigation of seawater intrusion in coastal aquifers using coastal earth fill considering future sea level rise,"Abd-Elhamid, H.F.; Abd-Elaty, I.; Hussain, M.S.","Saltwater intrusion (SWI) is a physical problem that threatens many coastal aquifers all over the world. Saltwater intrusion is increasing with abstraction and rise in sea level. Coastal aquifer protection is essential to protect groundwater resources in these areas. A number of methods have been developed to protect coastal aquifers from SWI. This paper presents the impact of sea level rise on SWI in coastal aquifers and application of coastal earth fill as a new technique to control SWI. Different future sea level rise scenarios were studied and different coastal earth fill with an appropriate soil to extend the coastline towards the sea in order to control SWI was studied using SEAWAT model. The proposed control measure is numerically assessed by Henry’s problem and then applied to a real case study of Biscayne aquifer, Florida, USA. For each aquifer, the corresponding relation was developed between the intrusion length of saltwater wedge and the width of fill. The results showed that increasing the fill width resulted in decreasing the intrusion length. In the case of Biscayne aquifer, increasing the fill width by 10, 20, 30, and 40% of the aquifer length resulted in retarding the intrusion to 329, 192, 42, and − 48 m respectively. Using 150- and 300-m fill widths retards the intrusion length by 32.3% and 60.5%. In addition, increasing the fill width to 465 m can retard SWI by 91.3%. This approach is capable to control the future risks of SWI and sea level rise. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",2020,,Environ. Sci. Pollut. Res.,27,18,23234-23245,,10.1007/s11356-020-08891-1,,#15344,Abd-Elhamid 2020,,
120,Chronic but not acute saltwater intrusion leads to large release of inorganic N in a tidal freshwater marsh,"Widney, S.E.; Smith, D.; Herbert, E.R.; Schubauer-Berigan, J.P.; Li, F.; Pennings, S.C.; Craft, C.B.","Sea level rise is expected to increase inundation and saltwater intrusion into many tidal freshwater marshes and forests. Saltwater intrusion may be long-term, as with rising seas, or episodic, as with low river flow or storm surge. We applied continuous (press) and episodic (pulse) treatments of dilute seawater to replicate 2.5 × 2.5 m field plots for three years and measured soil attributes, including soil porewater, oxidation-reduction potential, soil carbon (C), and nitrogen (N) to investigate the effects of continuous and episodic saltwater intrusion and increased inundation on tidal freshwater marsh elemental cycling and soil processes. Continuous additions of dilute seawater resulted in increased porewater chloride, sulfate, sulfide, ammonium, and nitrate concentrations. Plots that received press additions also had lower soil oxidation-reduction potentials beginning in the second year. Episodic additions of dilute seawater during typical low flow conditions (Sept.-Oct.) resulted in transient increases in porewater chloride and sulfate that returned to baseline conditions once dosing ceased. Freshwater additions did not affect porewater inorganic N or soil C or N. Persistent saltwater intrusion in freshwater marshes alters the N cycle by releasing ammonium-N from sorption sites, increasing nitrification and severely reducing N storage in macrophyte biomass. Chronic saltwater intrusion, as is expected with rising seas, is likely to shift tidal freshwater marshes from a sink to a source of N whereas intermittent intrusion from drought may have no long term effect on N cycling. © 2019 Elsevier B.V.",2019,,Sci. Total Environ.,695,,,,10.1016/j.scitotenv.2019.133779,,#15346,Widney 2019,,
122,"Application of numerical models to assess multi-source saltwater intrusion under natural and pumping conditions in the Great Maputo aquifer, Mozambique","Casillas-Trasvina, A.; Zhou, Y.; Stigter, T.Y.; Mussáa, F.E.F.; Juízo, D.","Regional three-dimensional groundwater-flow and saltwater transport models were built to analyse saltwater intrusion in the Great Maputo area, southern Mozambique. Increased water demand has led to many private groundwater abstractions, as the local public water supply network has already reached maximum capacity. Pushing for new strategies to tackle the water-supply shortages exposes the aquifer system to saltwater intrusion from entrapped fossil saline groundwater and seawater. Previous attempts at modelling have been frustrated by data limitations. This study compiled all the available data to build the models, which were subsequently calibrated with observed heads, discharges and salt concentrations. The transport models were used to test hypotheses of potential sources of saltwater resulting in the current salinity distribution. Furthermore, scenarios were simulated to assess the impacts of sea-level rise and projected groundwater abstractions. Results show that saline groundwater is widely distributed in the aquifer’s western sector, where it is a limiting factor for groundwater development, and seawater intrusion is a risk along the coastline. Newly constructed wells (46) along the Infulene River can be operated with some impacts of saltwater upconing and must be closely monitored. Although current groundwater abstractions (60,340 m3/day) are still small compared with groundwater recharge (980,823 m3/day), larger volumes of abstraction are feasible only when using a high number of production wells further away from the city with relatively low yields to avoid saltwater upconing. Capture of fresh groundwater upstream of discharge areas by wells for water supply is possible while maintaining groundwater discharges for groundwater dependent ecosystems. © 2019, The Author(s).",2019,,Hydrogeol. J.,27,8,2973-2992,,10.1007/s10040-019-02053-5,,#15348,Casillas-Trasvina 2019,,
123,Addressing Sea Level Rise from the Ground Up: Understanding the Implications for Coastal Geotechnics,"Burke-Flask, A.; Stark, N.; Rodriguez-Marek, A.","One of the most critical climate change processes affecting coastal areas is sea level rise. In addition to inundating low-lying areas near the coast and increasing the frequency of flooding, sea level rise may raise the groundwater table, drive saltwater intrusion, and increase the risk for erosion and scour. These impacts represent key equilibrium shifts that will affect geotechnical site conditions and design parameters. Frequent inundation will likely increase the demand for floodable, elevated, and floating foundation systems; frequent flooding of roads may reduce the service life of pavements and erode unbound subgrade material. Groundwater rise will increase hydrostatic pressures on earth retaining structures and foundations and may complicate construction projects requiring excavation. The threat of saltwater intrusion will encourage innovative strategies for developing hydraulic barriers. Increased erosion may reduce the longevity of beach nourishment projects and increase the rate of scour around infrastructure. This paper expands on the implications of sea level rise listed above and provides an outlook on how sea level rise might impact future projects and drive trends in coastal geotechnical practice. © 2021 American Society of Civil Engineers (ASCE). All rights reserved.",2021,,Geotech Spec Publ,2021-November,GSP 328,393-402,,,,#15349,Burke-Flask 2021,,
125,Public priorities on locally-driven sea level rise planning on the East Coast of the United States,"Carpenter, A.T.","Sea level rise poses a substantial concern to communities worldwide. Increased inundation, storm surge, saltwater intrusion, and other impacts create challenges which will require considerable planning to address. Recognizing the broad and differing scope of sea level rise issues and the variability of policy options to address them, local planning frameworks are necessary in addition to tools and resources available from state and federal governments. To help assess priorities and preferences on sea level rise planning, a survey of 503 persons affiliated with coastal communities on the East Coast of the United States was conducted in December 2017. This survey studied key aspects locally-driven sea level rise plans, including planning priorities, funding options, methods to resolve conflict, and potential responses. Six key findings address these and other concerns to provide the foundation of a locally driven framework for public officials. Copyright 2020 Carpenter",2020,,PeerJ,2020,3,,,10.7717/peerj.9044,,#15351,Carpenter 2020,,
